"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6"
"V1_0",0.0466668734391106,-0.00402044947933542,-0.164975454164708,-0.0575734705600856,-0.0330860168458497,0.0052046810622711
"V1_1",-0.6813363522098,0.0586985624029187,2.40864163080391,0.840572670178233,0.483055845947313,-0.0759883435096507
"V2_0",0.0709502523921028,-0.0749683348109864,-0.169525172399827,-0.0742672695842418,-0.0246279692755477,-0.0134068492202083
"V2_1",-1.03587368492265,1.09453768824302,2.47506751703674,1.08430213593068,0.359568351424382,0.195739998616089
"V3_0",0.0517800177687947,-0.0197387072687845,-0.155309582167672,-0.0569672918411139,-0.0520354614746016,-0.0179704315388603
"V3_1",-0.755988259429246,0.288185126122281,2.26751989964947,0.831722460883245,0.759717737528818,0.26236830046515
"V4_0",0.0709502523919686,-0.0749683348112619,-0.169525172399821,-0.0742672695843221,-0.0246279692756333,-0.0134068492203259
"V4_1",-1.03587368492154,1.09453768824311,2.47506751703705,1.08430213593057,0.359568351424206,0.1957399986161
"V5_0",0.0709502523917786,-0.0749683348111374,-0.169525172399862,-0.0742672695843164,-0.0246279692756629,-0.0134068492201673
"V5_1",-1.03587368492145,1.09453768824322,2.47506751703713,1.08430213593077,0.359568351424045,0.195739998616201
"V6_0",0.0670150066838531,-0.067739260763647,-0.116443755130771,-0.0564387101379801,-0.0379661716709686,-0.0286918424322018
"V6_1",-0.978419097585474,0.98899320714984,1.7000788249124,0.824005168016004,0.554306106395859,0.418900899510085
"V7_0",0.0739390754001837,-0.0312883338763548,-0.15393213082935,-0.0543640949438191,-0.0677131212456407,-0.0403371445868622
"V7_1",-0.74995347905882,0.317353100745904,1.56131161269749,0.551407248716429,0.686804515491672,0.40913389509517
"V8_0",0.0570257687666598,-0.0375377300335769,-0.0958510019835157,-0.0410187952479491,-0.0445289845076432,-0.0383802573996419
"V8_1",-0.832576223993523,0.548050858490555,1.39942462895929,0.598874410620187,0.650123173811739,0.560351758035102
"V9_0",0.0699519996259666,-0.0460894529286668,-0.1464974947121,-0.0563295596334463,-0.0588046400038401,-0.0433449636892299
"V9_1",-0.839423995511451,0.553073435143784,1.75796993654509,0.675954715601412,0.705655680046065,0.520139564270714
"V10_0",0.0576649230360707,-0.0416547587238095,-0.100585433921081,-0.0383703154406751,-0.0554919024359014,-0.0557995386970896
"V10_1",-0.84190787632692,0.608159477367998,1.46854733524794,0.560206605433834,0.810181775564289,0.814673264977298
"V11_0",0.0649890290294683,-0.0372115758853514,-0.1210113346636,-0.0461216192637086,-0.0617537600778362,-0.0635151427828581
"V11_1",-0.779868348353595,0.446538910624191,1.45213601596326,0.553459431164498,0.741045120934086,0.762181713394333
"V12_0",0.0800799769587453,-0.0767104493633277,-0.167376258320005,-0.0719636400081919,-0.0521506769887487,-0.033521987402684
"V12_1",-0.960959723504943,0.92052539235991,2.00851509983922,0.863563680097984,0.625808123866157,0.402263848833263
"V13_0",0.0893884875073811,-0.102086158631514,-0.160910523697341,-0.0738698148450762,-0.0310164881910158,-0.0387179982830512
"V13_1",-1.0726618500884,1.22503390357798,1.93092628436804,0.886437778140842,0.372197858292127,0.464615979396671
"V14_0",0.0865611273048974,-0.0967059707600256,-0.124753593247468,-0.0552066789417307,-0.0529361716567732,-0.0473880350098896
"V14_1",-1.03873352765874,1.16047164912027,1.49704311896941,0.662480147300859,0.635234059881639,0.568656420118737
"V15_0",0.0709502523919126,-0.0749683348112221,-0.169525172399801,-0.0742672695842992,-0.024627969275652,-0.013406849220376
