from,to,value
node_39,node_41,-0.636957129748934
node_23,node_45,-0.628459566049454
node_23,node_48,-0.661727768621161
node_36,node_48,-0.649147311919205
node_23,node_49,-0.64429646174288
node_39,node_51,-0.643206061614474
node_48,node_60,-0.656199554988296
node_15,node_62,-0.636813283472845
node_20,node_62,-0.630331893372631
node_23,node_62,-0.68334580203297
node_36,node_62,-0.640491794997444
node_60,node_62,-0.647092517561076
node_6,node_63,-0.655436240094499
node_23,node_63,-0.639127497662367
node_32,node_63,-0.653596773107727
node_36,node_63,-0.628434083315175
node_60,node_63,-0.650641451188573
node_23,node_65,-0.633865745448317
node_23,node_66,-0.665517453032314
node_42,node_66,-0.642028932722977
node_23,node_69,-0.654146596680965
node_23,node_71,-0.647189066133733
node_36,node_71,-0.634904482079824
node_23,node_76,-0.66689700374758
node_23,node_82,-0.657882220477854
node_36,node_92,-0.634606971071463
node_23,node_95,-0.630090035218289
node_36,node_95,-0.643259696093951
node_62,node_96,-0.647808679878011
node_63,node_100,-0.641394869801566
node_101,node_114,0.778314905668718
node_109,node_114,0.755128121212333
node_116,node_127,0.75446261699232
node_120,node_129,0.759239856441392
node_114,node_130,0.762446990826272
node_115,node_130,0.767908750311447
node_119,node_130,0.767908750311447
node_120,node_130,0.760111681799388
node_123,node_130,0.778314905668718
node_130,node_135,0.753579407327441
node_130,node_136,0.778314905668718
node_120,node_137,0.778314905668718
node_130,node_137,0.781607059371998
node_130,node_138,0.773257986794401
node_127,node_141,0.759315876891984
node_129,node_141,0.781607059371998
node_130,node_141,0.773257986794401
node_137,node_141,0.778314905668718
node_116,node_142,0.75437387784586
node_141,node_142,0.767908750311447
node_120,node_143,0.753268009174674
node_133,node_143,0.75494698356232
node_118,node_146,0.755595047465988
node_130,node_147,0.773257986794401
node_143,node_147,0.753268009174674
node_137,node_149,0.778314905668718
node_130,node_166,0.760111681799388
node_137,node_167,0.764301584423968
node_143,node_167,0.753091387049675
node_114,node_168,0.764301584423968
node_118,node_168,0.773257986794401
node_114,node_169,0.764301584423968
node_123,node_169,0.778314905668718
node_139,node_169,0.753268009174674
node_149,node_169,0.762000073772971
node_150,node_169,0.753091387049675
node_130,node_179,0.753268009174674
node_142,node_180,0.769328365229851
node_130,node_181,0.773257986794401
node_143,node_181,0.765373706056145
node_130,node_182,0.767908750311447
node_120,node_183,0.765373706056145
node_114,node_184,0.778314905668718
node_138,node_185,0.753091387049675
node_141,node_185,0.753268009174674
node_130,node_186,0.767908750311447
node_114,node_194,0.767908750311447
node_143,node_195,0.767908750311447
node_120,node_200,0.767680213756893
node_13,node_203,-0.633593443721194
node_15,node_203,-0.636204351605366
node_27,node_203,-0.659897488383323
node_28,node_203,-0.65997147552482
node_36,node_203,-0.637154653275554
node_43,node_203,-0.6346541503828
node_44,node_203,-0.644052377627584
node_48,node_203,-0.645618720355935
node_60,node_203,-0.642315242702138
node_61,node_203,-0.671041033502326
node_62,node_203,-0.636533754962837
node_63,node_203,-0.636753297565469
node_64,node_203,-0.637544809923475
node_65,node_203,-0.664857936206236
node_69,node_203,-0.656891709037381
node_76,node_203,-0.657767639382169
node_91,node_203,-0.640257582180199
node_76,node_204,-0.634649561489481
node_65,node_206,-0.631426916702281
