from,to,value
node_1,node_3,-0.316297050647738
node_3,node_4,-0.302069571310338
node_2,node_12,-0.302069571310338
node_1,node_29,-0.316297050647738
node_4,node_29,-0.302069571310338
node_43,node_52,0.573925262675439
node_64,node_70,0.56480217442108
node_64,node_71,0.566465153577102
node_43,node_81,0.569923075890833
node_43,node_82,0.569923075890833
node_42,node_88,0.569923075890833
node_64,node_92,0.56480217442108
node_65,node_92,0.57976284463025
node_36,node_93,0.576013582041547
node_43,node_93,0.569923075890833
node_43,node_94,0.569923075890833
node_63,node_94,0.56480217442108
node_13,node_95,0.576142455894068
node_44,node_95,0.587924425165203
node_49,node_95,0.56480217442108
node_51,node_95,0.569923075890833
node_64,node_95,0.569923075890833
node_65,node_95,0.568760225078136
node_81,node_95,0.569923075890833
node_27,node_129,0.691675523066244
node_27,node_130,0.612776543916387
node_64,node_130,0.702495596361376
node_65,node_130,0.568686923497075
node_39,node_141,0.608747525348187
node_64,node_141,0.647393688983633
node_24,node_143,0.648972417326574
node_27,node_143,0.586872084330725
node_39,node_143,0.567438258858757
node_64,node_143,0.654210869264881
node_65,node_143,0.599053046985814
node_63,node_167,0.598812561183894
node_27,node_168,0.780525105304579
node_64,node_168,0.734307296528049
node_65,node_168,0.597344971534237
node_39,node_169,0.575752299745128
node_64,node_169,0.592896575621058
node_65,node_169,0.589215342434614
node_95,node_169,0.682878426816013
node_27,node_170,0.614485092024945
node_64,node_170,0.64917458883862
node_65,node_170,0.608350433428912
node_63,node_177,0.585140549491094
node_95,node_178,0.578068404252923
node_27,node_183,0.566701504074131
node_95,node_187,0.579831773767822
node_95,node_193,0.602298514731815
node_43,node_209,0.709083239031982
node_49,node_209,0.63917279911111
node_63,node_209,0.689092278631069
node_64,node_209,0.644283998188872
node_71,node_209,0.594865810701149
node_95,node_209,0.709604574856195
node_215,node_216,-0.324159537624946
node_215,node_218,-0.324159537624946
node_216,node_220,-0.313704741532593
node_216,node_221,-0.324159537624946
node_217,node_221,-0.301449163382611
node_218,node_221,-0.313761516610288
node_4,node_223,-0.316297050647738
node_215,node_223,-0.354350197666142
node_216,node_223,-0.324159537624946
node_217,node_223,-0.301449163382611
node_218,node_223,-0.324159537624946
node_221,node_223,-0.300987067695164
node_222,node_223,-0.300987067695164
node_215,node_224,-0.324159537624946
node_221,node_224,-0.300987067695164
node_223,node_224,-0.316675898584016
node_221,node_225,-0.301449163382611
node_223,node_225,-0.301449163382611
node_215,node_227,-0.301449163382611
node_216,node_227,-0.339523432689631
node_217,node_227,-0.301449163382611
node_218,node_227,-0.301449163382611
node_221,node_227,-0.301449163382611
node_223,node_227,-0.324159537624946
node_215,node_228,-0.324159537624946
node_217,node_228,-0.324159537624946
node_223,node_228,-0.324159537624946
node_227,node_228,-0.324159537624946
node_201,node_229,-0.351691713510133
node_215,node_229,-0.301449163382611
node_217,node_229,-0.301449163382611
node_222,node_229,-0.300987067695164
node_223,node_229,-0.324159537624946
node_227,node_229,-0.301449163382611
node_228,node_229,-0.324159537624946
node_223,node_230,-0.324159537624946
node_215,node_231,-0.301449163382611
node_217,node_231,-0.301449163382611
node_225,node_231,-0.301449163382611
node_227,node_231,-0.301449163382611
node_221,node_232,-0.316675898584016
node_223,node_232,-0.300987067695164
node_215,node_235,-0.300987067695164
node_221,node_235,-0.300987067695164
node_216,node_237,-0.324159537624946
node_218,node_237,-0.324159537624946
node_221,node_237,-0.300987067695164
node_227,node_237,-0.301449163382611
node_229,node_237,-0.324159537624946
node_217,node_238,-0.301449163382611
node_224,node_238,-0.324159537624946
