from_1,from_2,from_3,from_4,from_5,from_6,from_7,from_8,from_9,from_10,from_11,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11
origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,net1_right,net2_right,net3_right,net4_right,net5_right,net6_right,net7_left,net8_left,net8_left,net9_left,net10_left
origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,net1_right,net2_right,net3_right,net4_right,net5_right,net6_left,net7_left,net8_left,net8_left,net9_left,net10_left
